epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.107,0.795,1.80611,0.94944,1,0.35378,0.99185,0.60944,1.2539,2.61297,1.07757,0.000657778,0.000657778,0.000657778
2,28.3576,0.72315,0.93193,0.88502,0.97737,0.99269,0.9925,0.56424,1.3528,0.92146,1.21052,0.00129822,0.00129822,0.00129822
3,40.4898,0.74535,0.762,0.89349,0.98727,0.99617,0.99489,0.57882,1.41314,0.79358,1.20377,0.00191226,0.00191226,0.00191226
4,52.6984,0.69824,0.62938,0.88734,0.98632,0.98851,0.99369,0.58743,1.2723,0.55455,1.08698,0.0018812,0.0018812,0.0018812
5,64.7355,0.66303,0.54624,0.88079,0.98402,0.99234,0.99056,0.59028,1.26576,0.59389,1.10202,0.0018416,0.0018416,0.0018416
6,76.7643,0.66142,0.50279,0.8727,0.98957,0.99617,0.99222,0.63327,1.22098,0.57467,1.08826,0.001802,0.001802,0.001802
7,88.8494,0.64189,0.4672,0.86779,0.97665,0.98851,0.99236,0.59368,1.38868,0.59082,1.12073,0.0017624,0.0017624,0.0017624
8,101.028,0.6234,0.44837,0.86268,0.99542,1,0.99496,0.58809,1.43901,0.61166,1.1628,0.0017228,0.0017228,0.0017228
9,113.182,0.63061,0.44464,0.86331,0.98489,0.99915,0.99485,0.64995,1.1939,0.53029,1.0713,0.0016832,0.0016832,0.0016832
10,125.312,0.61221,0.43249,0.86509,0.9918,1,0.99309,0.58335,1.39603,0.57636,1.15445,0.0016436,0.0016436,0.0016436
11,137.39,0.5953,0.41103,0.86135,1,0.99838,0.995,0.65783,1.19421,0.50499,1.07246,0.001604,0.001604,0.001604
12,149.502,0.58792,0.41486,0.85762,0.99375,1,0.99496,0.59819,1.28891,0.55741,1.10832,0.0015644,0.0015644,0.0015644
13,161.612,0.58802,0.39721,0.85444,0.99243,0.99617,0.99477,0.63051,1.285,0.49982,1.08611,0.0015248,0.0015248,0.0015248
14,173.83,0.59667,0.3872,0.85649,0.99231,1,0.99126,0.57324,1.53786,0.58135,1.20808,0.0014852,0.0014852,0.0014852
15,186.123,0.57644,0.38061,0.85173,0.99618,0.99982,0.995,0.61707,1.38965,0.48652,1.17677,0.0014456,0.0014456,0.0014456
16,198.149,0.58446,0.38597,0.85876,0.98854,0.99177,0.98836,0.62877,1.19725,0.48594,1.05149,0.001406,0.001406,0.001406
17,210.24,0.58269,0.37655,0.8556,0.99618,0.99958,0.99393,0.64058,1.25796,0.47026,1.11692,0.0013664,0.0013664,0.0013664
18,222.354,0.53467,0.35202,0.8466,0.99591,1,0.995,0.69899,1.06415,0.47784,1.02956,0.0013268,0.0013268,0.0013268
19,234.374,0.5396,0.35316,0.84603,0.99492,1,0.99496,0.65412,1.20726,0.5034,1.06934,0.0012872,0.0012872,0.0012872
20,246.564,0.53115,0.34496,0.83842,0.99496,1,0.99202,0.59139,1.38735,0.54648,1.15026,0.0012476,0.0012476,0.0012476
21,258.588,0.53022,0.34512,0.84362,0.99451,1,0.995,0.66197,1.2197,0.46712,1.05855,0.001208,0.001208,0.001208
22,271.006,0.53321,0.34207,0.84208,0.9957,1,0.99485,0.64381,1.24295,0.46149,1.0896,0.0011684,0.0011684,0.0011684
23,282.985,0.52105,0.33296,0.83915,0.99416,0.99234,0.995,0.66405,1.22501,0.48215,1.0834,0.0011288,0.0011288,0.0011288
24,295.251,0.52003,0.33374,0.83902,0.99618,0.99821,0.995,0.64586,1.26203,0.4751,1.11026,0.0010892,0.0010892,0.0010892
25,307.163,0.51312,0.31677,0.83727,0.99238,1,0.99347,0.69647,1.08729,0.41159,1.02161,0.0010496,0.0010496,0.0010496
26,319.298,0.49665,0.3162,0.83097,0.9877,1,0.99114,0.62115,1.33065,0.49981,1.12691,0.00101,0.00101,0.00101
27,331.529,0.49738,0.31632,0.82963,0.99186,1,0.99144,0.63079,1.24541,0.47864,1.06223,0.0009704,0.0009704,0.0009704
28,343.6,0.49238,0.31459,0.83071,0.99227,0.99617,0.99492,0.62164,1.37649,0.48958,1.15848,0.0009308,0.0009308,0.0009308
29,355.907,0.49501,0.31043,0.83958,0.99449,0.99617,0.99446,0.69123,1.10608,0.42725,1.0168,0.0008912,0.0008912,0.0008912
30,367.864,0.50637,0.3129,0.83227,0.99533,0.99617,0.99239,0.62361,1.29068,0.49568,1.11407,0.0008516,0.0008516,0.0008516
31,380.034,0.47164,0.29202,0.83548,0.99422,1,0.99122,0.67563,1.14632,0.43178,1.05202,0.000812,0.000812,0.000812
32,391.967,0.4867,0.30494,0.8347,0.99515,0.99617,0.99282,0.65049,1.21825,0.45967,1.07512,0.0007724,0.0007724,0.0007724
33,404.139,0.47341,0.29603,0.83126,0.99144,0.99617,0.99258,0.66748,1.18545,0.46499,1.06499,0.0007328,0.0007328,0.0007328
34,416.101,0.47319,0.28667,0.82991,0.99465,1,0.99485,0.67406,1.14206,0.42803,1.05339,0.0006932,0.0006932,0.0006932
35,428.195,0.46117,0.27879,0.82597,0.99462,1,0.99427,0.63274,1.26502,0.46234,1.09545,0.0006536,0.0006536,0.0006536
36,440.352,0.4602,0.27961,0.83097,0.99514,1,0.99309,0.67147,1.16314,0.43252,1.05254,0.000614,0.000614,0.000614
37,452.388,0.44475,0.26967,0.82642,0.99224,1,0.99229,0.66241,1.21077,0.42432,1.07793,0.0005744,0.0005744,0.0005744
38,464.825,0.44923,0.27114,0.82967,0.99423,1,0.99447,0.63994,1.29105,0.44993,1.11336,0.0005348,0.0005348,0.0005348
39,476.662,0.44353,0.26853,0.82385,0.9921,1,0.99145,0.62535,1.2926,0.45159,1.11103,0.0004952,0.0004952,0.0004952
40,488.952,0.43597,0.2622,0.82549,0.99308,1,0.99263,0.64993,1.24997,0.44724,1.09836,0.0004556,0.0004556,0.0004556
41,501.813,0.3949,0.22857,0.79897,0.98862,0.99866,0.99446,0.62005,1.3137,0.47402,1.11905,0.000416,0.000416,0.000416
